total_ms,build_ms,submit_ms,present_ms,other_ms,work_ms,vertices,draw_cmds
75.4735,2.5293,1.319,71.6065,0.0187073,3.867,8176,25
78.7476,1.4656,1.1873,76.0726,0.0220947,2.675,8176,25
74.6118,1.6195,1.2646,71.7087,0.0189972,2.9031,8176,25
74.4959,1.4587,1.2196,71.7989,0.0187073,2.69701,8176,25
75.7299,1.583,1.2215,72.9031,0.0223007,2.8268,8176,25
76.2288,1.5192,1.2324,73.4579,0.0192947,2.7709,8176,25
75.2392,1.5056,1.2103,72.5039,0.0193939,2.73529,8176,25
78.7283,1.4647,1.2204,76.021,0.0222015,2.7073,8176,25
75.971,1.5399,1.2754,73.128,0.0277023,2.843,8176,25
74.6412,1.496,1.4495,71.673,0.0226974,2.9682,8176,25
76.1654,1.5178,1.2452,73.3833,0.019104,2.7821,8176,25
74.819,1.5766,1.3789,71.8447,0.0187988,2.9743,8176,25
74.3208,1.4816,1.1874,71.6337,0.0181046,2.6871,8176,25
74.703,1.4657,1.2752,71.9406,0.0215073,2.76241,8176,25
82.4428,1.5278,1.2155,79.6794,0.0201035,2.7634,8176,25
76.1884,1.5045,1.2483,73.415,0.0205994,2.7734,8176,25
75.2877,1.5019,1.2848,72.4797,0.0213013,2.808,8176,25
74.7195,1.507,1.2179,71.9742,0.0204086,2.74531,8176,25
74.3511,1.5533,1.2047,71.574,0.019104,2.77711,8176,25
76.0841,1.4831,1.2066,73.3744,0.0200043,2.7097,8176,25
75.6794,1.5403,1.3424,72.7762,0.0205002,2.9032,8176,25
80.1926,1.4822,1.2168,77.4725,0.0211029,2.7201,8176,25
74.62,1.4997,1.2377,71.8621,0.0205002,2.7579,8176,25
75.2565,2.5558,1.3205,71.3612,0.0189972,3.89529,8176,25
74.0308,1.5848,1.2073,71.2201,0.0186081,2.81071,8176,25
74.6806,1.5163,2.1561,70.9883,0.0198975,3.6923,8176,25
75.4569,1.4814,1.2067,72.7481,0.0206985,2.7088,8176,25
75.3108,2.2916,1.5342,71.4654,0.0195999,3.8454,8176,25
75.1274,1.5263,1.2551,72.3251,0.0208969,2.8023,8176,25
75.5219,2.467,1.4585,71.5772,0.0192032,3.9447,8176,25
74.7374,1.4574,1.2286,72.0317,0.0197067,2.7057,8176,25
75.4219,2.5344,1.3502,71.5187,0.0186005,3.9032,8176,25
74.1112,1.4435,1.206,71.4435,0.0181961,2.66769,8176,25
77.8004,2.3774,1.4012,73.9998,0.0219955,3.8006,8176,25
75.5513,1.5392,1.294,72.6972,0.0208969,2.8541,8176,25
74.867,1.5056,1.3947,71.946,0.0206985,2.921,8176,25
75.0398,1.496,1.2347,72.2897,0.0194092,2.75011,8176,25
76.3525,1.592,1.4351,73.3028,0.0225906,3.04969,8176,25
77.9517,1.5428,1.2568,75.1318,0.0203018,2.8199,8176,25
73.8708,1.5455,1.2235,71.0831,0.018692,2.78769,8176,25
75.6728,1.4923,1.2205,72.9375,0.0224915,2.73529,8176,25
74.446,1.5907,1.221,71.6136,0.0206985,2.8324,8176,25
75.6401,1.4973,1.2512,72.872,0.0195999,2.7681,8176,25
74.2654,1.4998,1.2163,71.5248,0.024498,2.7406,8176,25
75.7242,1.4737,1.1938,73.0349,0.0217972,2.6893,8176,25
74.766,1.8416,1.8116,71.0939,0.018898,3.6721,8176,25
78.2993,1.4924,2.0746,74.7126,0.0196915,3.58669,8176,25
74.1168,1.5129,1.2036,71.3805,0.0198059,2.73631,8176,25
75.2896,2.5244,1.3314,71.4153,0.0185013,3.8743,8176,25
76.2535,1.4566,1.2555,73.5164,0.0250015,2.7371,8176,25
75.0012,1.7663,1.5229,71.6852,0.0267944,3.31599,8176,25
74.7804,1.4972,1.213,72.0506,0.0196075,2.7298,8176,25
74.0095,1.6076,1.1952,71.1893,0.0174103,2.82021,8176,25
73.6027,1.4585,1.1712,70.9531,0.0199051,2.6496,8176,25
75.6489,2.4607,1.4122,71.7545,0.0214996,3.8944,8176,25
74.0869,1.4648,1.231,71.371,0.0200958,2.7159,8176,25
75.421,1.5213,2.2934,71.5872,0.019104,3.8338,8176,25
75.0832,1.4679,1.2127,72.3745,0.0280991,2.7087,8176,25
75.3487,2.6254,1.2083,71.4967,0.0182953,3.852,8176,25
74.7541,1.5052,1.2051,72.0254,0.0184021,2.7287,8176,25
75.8663,2.5024,1.269,72.077,0.0178986,3.7893,8176,25
76.3181,1.4574,1.1807,73.6574,0.0225906,2.66069,8176,25
74.7563,1.6537,1.3747,71.7085,0.0194092,3.04781,8176,25
77.0157,1.4881,1.1965,74.3114,0.0196915,2.70429,8176,25
74.2355,1.538,1.3065,71.3724,0.0186081,2.86311,8176,25
74.0101,1.4843,1.1812,71.3259,0.018692,2.68419,8176,25
74.7803,1.68,1.3624,71.7167,0.0212021,3.0636,8176,25
73.964,1.5224,1.2374,71.1825,0.0217056,2.7815,8176,25
