total_ms,build_ms,submit_ms,present_ms,other_ms,work_ms,vertices,draw_cmds
62.9108,19.0826,8.3131,35.4805,0.0346031,27.4303,77080,24
61.0045,18.0448,8.4166,34.5096,0.0335007,26.4949,77360,24
60.446,17.8852,8.1299,34.3985,0.032402,26.0475,77704,24
61.0011,17.9669,8.3462,34.6477,0.0402985,26.3534,78396,24
62.3416,18.6586,8.6663,34.9838,0.0328979,27.3578,78608,24
61.0376,18.043,8.3385,34.6238,0.0323029,26.4138,78818,24
61.2332,18.0626,8.4171,34.721,0.0325012,26.5122,78722,24
61.7024,17.8055,8.938,34.9252,0.033699,26.7772,78664,24
68.9195,17.9189,11.3899,39.5789,0.0318069,29.3406,78510,24
62.5094,18.0649,8.4662,35.9462,0.0320969,26.5632,78246,24
61.777,18.6582,8.1078,34.9793,0.0317001,26.7977,78096,24
62.4614,18.0837,8.3618,35.9826,0.0332985,26.4788,78146,24
61.81,18.1347,8.74,34.9019,0.0333977,26.9081,78180,24
61.3502,17.6349,8.4507,35.2318,0.0328026,26.1184,77804,24
60.0627,17.7865,8.0541,34.1913,0.0307999,25.8714,77726,24
62.1838,19.2432,8.477,34.4302,0.0334015,27.7536,77788,24
63.0976,19.7453,8.7814,34.5387,0.0321999,28.5589,77812,24
62.2219,17.9298,8.3163,35.9395,0.0363007,26.2824,77778,24
60.8628,17.7379,8.618,34.4733,0.0335999,26.3895,77954,24
67.9724,17.8755,14.9543,35.1099,0.0326996,32.8625,78216,24
61.7447,17.9397,8.9004,34.8702,0.0344009,26.8745,78276,24
60.567,17.6965,8.14,34.6997,0.0307999,25.8673,78362,24
61.2303,17.9468,8.1727,35.0725,0.0383034,26.1578,78394,24
61.3603,18.0993,8.5363,34.6893,0.0353966,26.671,78642,24
60.811,17.9198,8.2442,34.6149,0.0321007,26.1961,79022,24
61.1278,17.9976,8.2699,34.8255,0.0347977,26.3023,79078,24
61.5336,17.9149,8.7029,34.8828,0.0329971,26.6508,79022,24
61.3109,18.0942,8.3648,34.8103,0.0416031,26.5006,79110,24
60.8386,17.781,8.4811,34.5443,0.0321999,26.2943,79222,24
61.6526,17.9298,8.7884,34.9017,0.0326996,26.7509,79458,24
61.7737,17.9028,8.4432,35.3957,0.0320015,26.378,79622,24
61.2532,17.7084,8.6288,34.8834,0.0326004,26.3698,79734,24
62.0326,17.9053,8.902,35.1917,0.0335999,26.8409,79922,24
62.008,17.9899,8.9008,35.0814,0.0358963,26.9266,80062,24
61.2544,17.9813,8.4174,34.8249,0.0307961,26.4295,80014,24
62.4476,17.8646,8.979,35.5692,0.0348053,26.8784,80538,24
62.3758,18.3218,8.795,35.2251,0.0338974,27.1507,80738,24
62.2078,17.9205,8.5648,35.6922,0.030304,26.5156,80934,24
61.4956,17.8237,8.591,35.0499,0.031002,26.4457,80984,24
62.5519,18.0767,9.1907,35.2506,0.0339012,27.3013,81082,24
62.4837,17.9613,9.1181,35.3706,0.033699,27.1131,81142,24
67.1549,17.9224,8.5844,40.6167,0.0314026,26.5382,81006,24
62.7662,18.1125,8.9711,35.6501,0.0325012,27.1161,82122,24
63.3842,19.0427,9.0137,35.2908,0.0370026,28.0934,82248,24
63.3294,18.2161,9.2236,35.8567,0.0329971,27.4727,82830,24
73.7153,18.9775,9.4703,45.2335,0.033989,28.4818,83322,24
63.7013,18.3415,9.1025,36.2255,0.0318031,27.4758,83892,24
64.4894,18.6881,9.1632,36.6067,0.0314026,27.8827,84364,24
64.718,18.501,9.7415,36.4414,0.0341034,28.2766,84834,24
71.0483,18.6969,9.9142,42.4021,0.0351028,28.6462,85134,24
64.2668,18.7418,9.3711,36.1224,0.0315018,28.1444,85734,24
64.8137,18.5042,9.8117,36.4637,0.0340958,28.35,85868,24
66.0662,18.5067,10.9307,36.5953,0.0335007,29.4709,86336,24
65.5708,18.9541,9.9777,36.6051,0.033905,28.9657,86744,24
65.5514,18.7355,10.1074,36.6737,0.0347977,28.8777,87568,24
65.6043,18.6293,10.0951,36.8472,0.0327072,28.7571,88152,24
67.081,18.6994,10.2493,38.1004,0.0318985,28.9806,88632,24
67.0054,18.8112,10.8894,37.2705,0.0343018,29.7349,89610,24
66.8043,18.6295,10.8504,37.2884,0.0360031,29.5159,89990,24
66.704,18.8859,10.49,37.2951,0.0329971,29.4089,90378,24
66.517,18.8387,10.3275,37.3173,0.0335007,29.1997,90398,24
68.5076,18.5632,11.9624,37.948,0.0339966,30.5596,90192,24
67.1576,18.7748,10.3534,37.9953,0.0340958,29.1623,90100,24
67.3563,18.7786,10.2487,38.2957,0.0333023,29.0606,89956,24
69.8658,18.8574,11.155,39.7858,0.0675964,30.08,89970,24
97.2414,28.9663,18.6673,49.5698,0.038002,47.6716,89390,24
66.6322,19.0123,10.461,37.0964,0.0625,29.5358,88902,24
66.4953,18.9158,10.1441,37.4021,0.0333023,29.0932,88760,24
66.2171,18.6167,10.325,37.2408,0.0346069,28.9763,88884,24
66.8042,18.9184,10.1909,37.6622,0.0326996,29.142,88664,24
66.3636,19.2884,10.112,36.9302,0.0330048,29.4334,88132,24
65.8576,18.6223,10.0147,37.1831,0.0374985,28.6745,87858,24
65.7778,18.7096,10.0071,37.0227,0.0383987,28.7551,87686,24
66.1711,19.1455,10.0912,36.8998,0.0345993,29.2713,87122,24
66.0264,18.6198,10.4224,36.9506,0.0335999,29.0758,86698,24
64.6554,18.4625,9.6404,36.5176,0.0349045,28.1378,85800,24
65.0441,18.7806,9.9081,36.3229,0.0325012,28.7212,85302,24
66.3846,19.8946,10.084,36.3721,0.0338974,30.0125,85000,24
64.0138,18.4649,9.3021,36.2164,0.0304031,27.7974,84906,24
63.7986,18.401,9.3168,36.0485,0.032299,27.7501,84832,24
63.8413,18.7191,9.2291,35.8611,0.0320015,27.9802,84768,24
66.2126,18.8308,9.4663,37.8819,0.0335999,28.3307,84728,24
64.3894,18.4766,9.6486,36.2303,0.0338974,28.1591,84568,24
64.6689,18.5188,9.9186,36.1956,0.0359039,28.4733,84348,24
64.0804,18.3033,9.6026,36.141,0.0335007,27.9394,84242,24
63.6508,18.3797,9.1489,36.0915,0.0307007,27.5593,84176,24
63.2651,18.3651,9.1448,35.7212,0.0339966,27.5439,84068,24
63.5991,18.6493,9.2218,35.6962,0.0317993,27.9029,83784,24
64.0899,18.3632,9.4384,36.2545,0.0337982,27.8354,83690,24
63.9728,18.3933,9.418,36.1279,0.0336037,27.8449,83684,24
64.5068,18.2633,10.257,35.952,0.0345001,28.5548,83622,24
63.8449,18.5007,9.1273,36.1841,0.032795,27.6608,83270,24
73.1567,25.279,11.676,36.1633,0.0384064,36.9934,83216,24
76.4312,20.7048,9.676,46.0116,0.0388031,30.4196,83288,24
65.3442,19.6224,9.9173,35.7623,0.0421982,29.5819,83232,24
63.6039,18.5193,9.1856,35.8551,0.0439034,27.7488,83120,24
64.0595,18.2716,9.7394,36.0132,0.0353012,28.0463,82770,24
63.8577,18.5873,9.4155,35.8203,0.0345993,28.0374,82784,24
64.2681,18.7678,9.77,35.6968,0.033493,28.5713,82784,24
63.8866,18.3247,9.0645,36.4645,0.0329018,27.4221,82940,24
63.9561,19.371,8.9486,35.601,0.0354996,28.3551,82936,24
63.1729,18.1978,9.2359,35.7088,0.0303993,27.4641,82780,24
70.1139,20.3725,14.1135,35.5921,0.0358124,34.5218,82564,24
62.8999,18.1671,8.9938,35.7071,0.0318985,27.1928,82452,24
63.6833,18.4011,9.51,35.7395,0.0327034,27.9438,82324,24
63.4207,18.1715,9.1708,36.0457,0.0326996,27.375,82100,24
63.4964,18.4048,9.4817,35.5707,0.039196,27.9257,81904,24
62.3766,18.4672,8.7098,35.1675,0.0321007,27.2091,81326,24
62.2169,18.5023,8.6889,34.9936,0.0321007,27.2233,81098,24
62.4527,18.3296,8.923,35.167,0.0331001,27.2857,81048,24
62.5641,18.0269,8.9657,35.538,0.0335007,27.0261,80908,24
61.4813,17.8443,8.7382,34.8617,0.0371017,26.6196,80696,24
65.4839,21.7925,8.539,35.1209,0.0315018,30.363,80638,24
61.7432,17.8332,8.786,35.0899,0.0340958,26.6533,80454,24
63.878,18.425,8.6567,36.7623,0.0340004,27.1157,79294,24
61.0422,17.7316,8.5241,34.748,0.0384979,26.2942,79292,24
61.3394,18.044,8.7097,34.5541,0.031601,26.7853,79052,24
61.2669,17.8275,8.733,34.6739,0.0325012,26.593,78410,24
60.5144,17.7618,8.2085,34.5003,0.0437965,26.0141,78090,24
60.645,17.634,8.6121,34.3671,0.0317993,26.2779,78024,24
61.3809,18.2028,8.6263,34.5182,0.0335999,26.8627,77802,24
60.7949,17.7505,8.5813,34.4274,0.0357018,26.3675,77874,24
60.1201,17.7248,8.1301,34.2336,0.0315971,25.8865,77536,24
63.4242,18.6632,8.4099,36.3178,0.0332985,27.1064,77594,24
62.0665,18.3065,8.1518,35.5748,0.0334053,26.4917,77854,24
60.7005,17.7076,8.2381,34.7175,0.0373001,25.983,77996,24
61.115,17.8818,8.5282,34.6715,0.0335007,26.4435,77816,24
62.0663,19.0168,8.4609,34.5557,0.0329018,27.5106,77298,24
60.6434,18.0804,8.1192,34.411,0.0327988,26.2324,77520,24
61.8183,18.9957,8.4012,34.3874,0.0339966,27.4309,77216,24
61.5033,17.7862,9.201,34.4796,0.0365028,27.0237,77232,24
62.0676,19.3302,8.1132,34.5926,0.0315971,27.475,77264,24
60.4958,17.657,8.2247,34.581,0.0331001,25.9148,77612,24
61.4382,18.0767,8.5451,34.7845,0.0319023,26.6537,78120,24
69.7461,19.0961,14.9044,35.7129,0.0326996,34.0332,78608,24
61.9789,18.189,8.9849,34.7718,0.0331993,27.2071,78734,24
61.1964,18.0491,8.4855,34.6287,0.0331001,26.5677,78734,24
62.4375,19.1184,8.6118,34.6741,0.0331993,27.7634,78740,24
61.2764,17.8456,8.6381,34.7593,0.0334015,26.5171,78654,24
61.5083,17.7931,8.5058,35.1731,0.0363007,26.3352,78378,24
69.2033,26.3507,8.2122,34.605,0.0353928,34.5983,78232,24
61.3397,18.2987,8.6146,34.3946,0.0317993,26.9451,78110,24
61.808,18.3361,8.6994,34.7384,0.0340996,27.0696,78182,24
61.3006,17.7926,8.7335,34.7421,0.0323982,26.5585,78088,24
61.3528,18.6638,8.1827,34.4733,0.0329971,26.8795,77668,24
60.5996,17.7241,8.3247,34.5178,0.0330009,26.0818,77784,24
60.9282,17.7741,8.4121,34.7083,0.033699,26.2199,77836,24
60.2078,17.4685,8.0964,34.6087,0.0342026,25.5991,77766,24
76.5478,19.2353,14.9495,42.3287,0.0342941,34.2191,77858,24
60.2311,17.6873,8.1652,34.3479,0.0306969,25.8832,78138,24
72.7701,27.5436,10.0425,35.1499,0.0341034,37.6202,78274,24
60.4241,17.7334,8.1034,34.5556,0.0317001,25.8685,78298,24
62.2079,18.086,8.5351,35.554,0.0327988,26.6539,78430,24
61.0732,17.7952,8.4711,34.7738,0.0331001,26.2994,78486,24
60.8113,17.6762,8.2261,34.8773,0.0316963,25.934,78872,24
61.4899,17.9304,8.3324,35.1961,0.0309982,26.2938,79050,24
62.0652,17.8153,8.5196,35.6929,0.0373993,26.3723,79106,24
68.9525,20.0363,9.8741,39.0042,0.0379028,29.9483,79050,24
62.5949,18.6629,8.5139,35.3845,0.0335999,27.2104,79166,24
61.1584,17.7226,8.3808,35.0235,0.0315018,26.1349,79350,24
61.467,17.9487,8.6102,34.8732,0.0349007,26.5938,79566,24
63.0764,17.9513,9.349,35.742,0.0340996,27.3344,79678,24
64.4103,19.6293,8.8347,35.9129,0.0334015,28.4974,79782,24
62.626,17.7663,8.5479,36.2743,0.0374985,26.3517,80034,24
63.0791,19.31,8.976,34.7602,0.0329018,28.3189,80046,24
63.2022,19.2111,9.0194,34.9351,0.036602,28.2671,80360,24
63.8567,18.3121,8.9247,36.5867,0.0331993,27.27,80624,24
62.6006,18.0269,9.3878,35.1535,0.032402,27.4471,80822,24
62.08,17.7575,8.9255,35.3658,0.0312042,26.7142,81026,24
61.9489,17.7902,9.1259,35.0005,0.032299,26.9484,81062,24
62.2773,17.9021,9.1107,35.2323,0.0322037,27.045,81054,24
61.9964,17.7893,8.7314,35.4441,0.031601,26.5523,81096,24
61.8768,17.7658,8.9003,35.1792,0.0315018,26.6976,81628,24
63.044,18.4155,9.1981,35.3987,0.0316963,27.6453,82154,24
63.4657,18.1439,9.8243,35.466,0.031498,27.9997,82458,24
63.2216,17.9721,9.3135,35.8977,0.0382996,27.3239,83154,24
62.6669,17.8786,9.2738,35.4823,0.0322037,27.1846,83656,24
64.046,19.1505,9.1198,35.7378,0.0378952,28.3082,84234,24
63.9453,18.4089,9.4751,36.0283,0.0330009,27.917,84584,24
64.0413,18.0872,9.6619,36.2602,0.0319977,27.7811,85022,24
63.7134,18.2382,9.4201,36.0223,0.0328026,27.6911,85508,24
63.7585,18.1011,9.2954,36.3303,0.0317001,27.4282,85780,24
64.3488,18.7479,9.3279,36.2409,0.0321045,28.1079,86120,24
64.2416,18.5794,9.4531,36.1776,0.0315018,28.064,86636,24
64.76,18.8732,9.7014,36.1518,0.0336075,28.6082,87006,24
65.9013,18.4246,10.0243,37.4185,0.0338974,28.4828,88090,24
65.101,18.3555,10.0577,36.6549,0.0328979,28.4461,88346,24
65.4214,18.4075,10.2015,36.7784,0.0340042,28.643,89090,24
66.7015,18.8526,10.2494,37.5662,0.0333023,29.1353,89746,24
87.8119,23.5909,18.1963,45.9878,0.0369034,41.8241,90276,24
66.2015,18.4327,10.706,37.0278,0.034996,29.1737,90456,24
65.9937,18.4368,10.3309,37.1853,0.0406952,28.8084,90252,24
66.5656,18.2998,10.7616,37.4711,0.0330963,29.0945,90206,24
66.8056,19.0649,10.5875,37.1192,0.0340042,29.6864,89952,24
66.5096,18.5357,10.8233,37.1165,0.0340958,29.3931,89944,24
70.9918,23.9005,10.0441,37.0147,0.0324936,33.9771,89704,24
66.5761,18.8122,10.748,36.984,0.0318985,29.5921,89078,24
65.1272,18.4203,9.9293,36.7462,0.031395,28.381,88594,24
65.641,18.2913,10.3567,36.9558,0.0372009,28.6852,88550,24
65.7195,18.8858,9.9287,36.8729,0.0321045,28.8466,88490,24
65.6146,18.4912,10.2013,36.8872,0.0349045,28.7274,88170,24
64.8746,18.209,9.8775,36.753,0.0351105,28.1216,87544,24
65.8732,18.6234,9.9117,37.3044,0.033699,28.5688,87520,24
65.9168,18.7556,10.1931,36.9347,0.0334015,28.9821,87214,24
65.6118,18.6059,10.3092,36.6637,0.0330048,28.9481,86676,24
64.9163,18.3637,10.0808,36.4386,0.0331955,28.4777,86302,24
68.5424,18.4691,9.3889,40.6518,0.0326004,27.8906,85228,24
86.4556,30.3974,16.7169,39.3045,0.0367966,47.1511,84928,24
64.1871,18.1547,9.882,36.1158,0.0346069,28.0713,84646,24
64.3438,18.5322,9.5731,36.2065,0.0320053,28.1373,84612,24
